area_id,name,company_id
1,DevEx,3533
2,Financial,6943
3,Customer,6943
4,Internal Processes,6943
5,Learning and Growth,6943
6,Financial,6983
7,Customer,6983
8,Internal Processes,6983
9,Learning and Growth,6983
10,Financial,6995
11,Customer,6995
12,Internal Processes,6995
13,Learning and Growth,6995
14,Revenue,2288
15,Learning & growth,2288
16,Customer,2288
17,Business Processes,2288
19,Internal Clients,2288
35,Test,2288
36,Financial,9005
37,Customer,9005
38,Internal Processes,9005
39,Learning and Growth,9005
40,Financial,2288
41,Customer,2288
42,Internal Processes,2288
43,Learning and Growth,2288
44,Integrity,5048
45,Boost quarterly revenue by 15%,7461
46,Financial,5220
47,Customer,5220
48,Internal Processes,5220
49,Learning & Growth,5220
50,Financial,4592
51,Internal Operations,4592
52,Customer,4592
53,profitability,6007
54,Customer Aquisition,7543
55,Financial Perspective,7543
56,Customer Perspective,7543
57,internal Process Perspective,7543
58,Learning and Growth Perspective,7543
59,Growth and expansion,7543
60,Financial,2395
61,Customer,2395
62,Learning & Growth,2395
63,Business Processes,2395
64,Innovation and growth perspective,7543
65,Internal proceses perspective,7543
66,Customer perspective,7543
67,Financial perspective,7543
68,Sales,8894
69,Revenue,4708
70,Grwoth,4708
71,Financials,3549
72,Customers,3549
73,Internal Processes,3549
74,Learning & development,3549
75,Sample 1,7461
76,Financial Perspective,4707
77,Customer Perspective,4707
78,Internal Process Perspective,4707
79,Learning and Growth Perspective,4707
80,Financial Perspective,5971
81,Customer Perspective,5971
82,Internal Process Perspective,5971
83,Learning Process Perspective,5971
84,Lead Generation,5971
85,Digital Marketing,5971
86,Financial Perspective,5971
87,Customer Perspective,5971
88,Internal Process Perspective,5971
89,Learning and Growth Perspective,5971
90,FINANCIALS,6087
91,INTERNAL,6087
92,CUSTOMER,6087
93,ORGANIZATIONAL,6087
94,Educating Community,9503
95,Internal Resource,2395
96,FINANCIAL CONTRIBUTION,5738
97,Higher Competition,9503
98,"More Students, More impact",9503
99,Financial Perspective,9503
100,Happy TTA teammembers,9503
101,Granting opportunities,9503
102,Giving Back to community,9503
103,Financial Aspect,7476
104,Learning & Growth,7476
105,Internal Processes,7476
106,Customer,7476
107,Financial,7476
108,Financial Contribution,5738
109,hjhjhjh,2288
110,Ability to align HR strategies with organizational goals,9926
111,Measures the ability to effectively implement HR policies & procedures,9926
112,Gain Market Share,7461
113,Test 1,7204
114,Test 2,7204
115,Financial Perspective,7204
116,Customer Perspective,7204
117,Internal Process Perspective,7204
118,Learning and Growth Perspective,7204
119,Talent Acquisition,10047
120,Employee Atrrition,10047
121,Sales,10047
122,FINANCIAL,4708
123,CUSTOMER,4708
124,INTERNAL PROCESS,4708
125,GROWTH,6863
126,FINANCIAL,6863
127,Financial Perspective,5953
128,Customer Perspective,5953
129,Internal Business Processes,5953
130,Learning & Growth Perspective,5953
131,Financial Perspective,4277
132,Customer Perspective,4277
133,Internal Process perspective,4277
134,Learning and Growth Perspective,4277
135,Growth,6909
136,Learning and Growth Perspective,4277
137,Financial Perspective,4277
138,Learning and Growth Perspective,4277
139,Internal Process perspective,4277
140,Customer Perspective,4277
141,Maximizing financial efficiency in Monitoring Escalations and Deployments,4277
142,Strategic Planning & Implementation,9926
143,Talent Acquisition & Retention,9926
144,Learning and Growth,8894
145,Business Processes,8894
146,Customer,8894
147,Financial,8894
148,Strategic Planning & Implementation,9280
149,Quantitative Assessment,8225
150,Qualitative Assessment,8225
151,Performance Improvement and Career Development plan,8225
152,Report Module,5260
153,Payroll Module,5260
154,Performance,9280
